table,grid,condition,item,metric,value,n,ci_low,ci_high,standard_deviation,minimum,maximum,qaoa_mean,exact_global,hedges_g,median,level,rank
3,3x3,full-day,Max-Pressure,throughput,96645.0,1,,,,,,,,,,,
3,3x3,full-day,SCOOT,average_travel_time,140.77,1,,,,,,,,,,,
3,3x3,full-day,SCOOT,average_waiting_time,46.28,1,,,,,,,,,,,
3,3x3,full-day,SCOOT,throughput,97809.0,1,,,,,,,,,,,
3,3x3,full-day,PressLight,average_travel_time,110.56,1,,,,,,,,,,,
3,3x3,full-day,PressLight,average_waiting_time,37.85,1,,,,,,,,,,,
3,3x3,full-day,PressLight,throughput,97261.0,1,,,,,,,,,,,
3,3x3,full-day,MPLight,average_travel_time,95.02,1,,,,,,,,,,,
3,3x3,full-day,MPLight,average_waiting_time,30.65,1,,,,,,,,,,,
3,3x3,full-day,MPLight,throughput,96316.0,1,,,,,,,,,,,
3,3x3,full-day,CoLight,average_travel_time,90.76,1,,,,,,,,,,,
3,3x3,full-day,CoLight,average_waiting_time,27.88,1,,,,,,,,,,,
3,3x3,full-day,CoLight,throughput,95761.0,1,,,,,,,,,,,
3,3x3,full-day,QAOA,average_travel_time,92.9595,20,,,0.705351536096495,,,,,,,,
3,3x3,full-day,QAOA,average_waiting_time,28.395,20,,,0.40176583910741315,,,,,,,,
3,3x3,full-day,QAOA,throughput,95594.35,20,,,178.79222725363593,,,,,,,,
4,2x2,alpha=0.5,QAOA,average_travel_time,87.58949999999999,20,87.3665,88.03349999999999,0.9910572504574131,87.36,91.8,,,,,,
4,2x2,alpha=0.5,QAOA,average_waiting_time,29.92799999999999,20,29.806499999999993,30.168999999999993,0.537142537193954,29.8,32.21,,,,,,
4,2x2,alpha=0.5,QAOA,throughput,1024.85,20,1022.55,1026.0,5.142956348249516,1003.0,1026.0,,,,,,
4,2x2,alpha=0.7,QAOA,average_travel_time,96.3935,20,95.7035,97.16499999999999,1.7074859173342332,95.26,99.59,,,,,,
4,2x2,alpha=0.7,QAOA,average_waiting_time,38.662499999999994,20,38.4894875,38.867025000000005,0.44294320652937597,38.39,39.66,,,,,,
4,2x2,alpha=0.7,QAOA,throughput,942.35,20,933.6,950.1025,19.312594745126134,908.0,955.0,,,,,,
4,2x2,alpha=1.0,QAOA,average_travel_time,91.36800000000001,20,91.03200000000001,91.816,0.919276603468296,90.92,93.16,,,,,,
4,2x2,alpha=1.0,QAOA,average_waiting_time,38.03200000000001,20,37.87300000000001,38.24400000000001,0.4350148212841063,37.82,38.88,,,,,,
4,2x2,alpha=1.0,QAOA,throughput,719.4,20,717.8,720.6,3.2831307266724927,713.0,721.0,,,,,,
4,3x3,alpha=0.5,QAOA,average_travel_time,170.50799999999998,20,167.0764625,174.12256250000002,8.183447735649397,156.87,188.12,,,,,,
4,3x3,alpha=0.5,QAOA,average_waiting_time,42.365,20,41.933975,42.811525,1.019486454828581,39.76,44.59,,,,,,
4,3x3,alpha=0.5,QAOA,throughput,1138.85,20,1122.64875,1155.1512500000001,38.538121932772796,1067.0,1210.0,,,,,,
4,3x3,alpha=0.7,QAOA,average_travel_time,197.496,20,194.8654875,199.88001250000005,5.815013599115202,181.35,206.31,,,,,,
4,3x3,alpha=0.7,QAOA,average_waiting_time,43.746,20,43.39748750000001,44.0455,0.758200084688108,41.73,44.52,,,,,,
4,3x3,alpha=0.7,QAOA,throughput,979.9,20,966.7987499999999,994.2,31.457406457822167,926.0,1060.0,,,,,,
4,3x3,alpha=1.0,QAOA,average_travel_time,134.63349999999997,20,133.51550000000003,135.7710125,2.677969134290113,130.53,138.85,,,,,,
4,3x3,alpha=1.0,QAOA,average_waiting_time,40.513000000000005,20,40.187,40.833000000000006,0.7546633965585334,38.95,41.73,,,,,,
4,3x3,alpha=1.0,QAOA,throughput,1014.55,20,1009.95,1019.25,11.009445705249748,998.0,1033.0,,,,,,
5,2x2,$\alpha=0.5$,QAOA - Exact Classical Global,average_travel_time,0.09950000000000828,20,-0.12349999999999213,0.5435000000000081,,,,87.58949999999999,87.49,0.09638191936532586,,,
5,2x2,$\alpha=0.5$,QAOA - Exact Classical Global,average_waiting_time,-0.6820000000000002,20,-0.8035,-0.44100000000000017,,,,29.92799999999999,30.61,-1.218894343055148,,,
