network,alpha,condition,run,shots,num_decisions,optimal_hits,optimum_recovery_rate,average_selected_energy,average_exact_min_energy,average_optimality_gap,average_travel_time,average_waiting_time,throughput
2x2,0.8,a8,19,512,600,596,0.9933333333333333,-78.58016666666667,-78.62036666666667,0.04020000000000001,87.56,36.22,881.0
2x2,0.8,a8,20,512,600,595,0.9916666666666667,-78.74586666666666,-78.7893,0.04343333333333334,87.56,36.22,881.0
2x2,0.9,a9,1,512,600,600,1.0,-72.81686666666667,-72.81686666666667,0.0,88.08,36.72,780.0
2x2,0.9,a9,2,512,600,599,0.9983333333333333,-72.87526666666666,-72.8941,0.01883333333333335,88.08,36.72,780.0
2x2,0.9,a9,3,512,600,599,0.9983333333333333,-72.90859999999999,-72.92743333333333,0.01883333333333335,88.08,36.72,780.0
2x2,0.9,a9,4,512,600,599,0.9983333333333333,-72.84813333333332,-72.8502,0.0020666666666666698,88.08,36.72,780.0
2x2,0.9,a9,5,512,600,598,0.9966666666666667,-72.80156666666667,-72.81343333333334,0.011866666666666668,88.08,36.72,780.0
2x2,0.9,a9,6,512,600,598,0.9966666666666667,-72.63236666666667,-72.68326666666667,0.05090000000000001,89.34,37.21,774.0
2x2,0.9,a9,7,512,600,599,0.9983333333333333,-72.55926666666666,-72.5979,0.038633333333333346,89.34,37.21,774.0
2x2,0.9,a9,8,512,600,600,1.0,-72.81686666666667,-72.81686666666667,0.0,88.08,36.72,780.0
2x2,0.9,a9,9,512,600,598,0.9966666666666667,-71.71326666666667,-71.72876666666667,0.015500000000000002,87.68,36.49,778.0
2x2,0.9,a9,10,512,600,600,1.0,-72.81686666666667,-72.81686666666667,0.0,88.08,36.72,780.0
2x2,0.9,a9,11,512,600,600,1.0,-72.8502,-72.8502,0.0,88.08,36.72,780.0
2x2,0.9,a9,12,512,600,600,1.0,-72.81686666666667,-72.81686666666667,0.0,88.08,36.72,780.0
2x2,0.9,a9,13,512,600,597,0.995,-72.8676,-72.96076666666667,0.09316666666666668,88.08,36.72,780.0
2x2,0.9,a9,14,512,600,599,0.9983333333333333,-72.90859999999999,-72.92743333333333,0.01883333333333335,88.08,36.72,780.0
2x2,0.9,a9,15,512,600,596,0.9933333333333333,-71.60553333333333,-71.73083333333334,0.12530000000000002,87.68,36.49,778.0
2x2,0.9,a9,16,512,600,599,0.9983333333333333,-72.78,-72.78353333333334,0.003533333333333332,88.08,36.72,780.0
2x2,0.9,a9,17,512,600,600,1.0,-72.81686666666667,-72.81686666666667,0.0,88.08,36.72,780.0
2x2,0.9,a9,18,512,600,597,0.995,-73.14403333333333,-73.22953333333334,0.08549999999999999,88.08,36.72,780.0
2x2,0.9,a9,19,512,600,600,1.0,-72.8502,-72.8502,0.0,88.08,36.72,780.0
2x2,0.9,a9,20,512,600,598,0.9966666666666667,-72.80506666666666,-72.82743333333333,0.022366666666666684,88.08,36.72,780.0
2x2,1.0,a10,1,512,600,596,0.9933333333333333,-66.77391666666666,-66.88578333333334,0.11186666666666667,93.16,38.88,713.0
2x2,1.0,a10,2,512,600,598,0.9966666666666667,-65.97891666666666,-66.03978333333333,0.06086666666666667,90.92,37.82,721.0
2x2,1.0,a10,3,512,600,599,0.9983333333333333,-65.81301666666667,-65.81358333333334,0.0005666666666666753,90.92,37.82,721.0
2x2,1.0,a10,4,512,600,598,0.9966666666666667,-66.28845,-66.31268333333334,0.024233333333333336,90.92,37.82,721.0
2x2,1.0,a10,5,512,600,598,0.9966666666666667,-66.26035,-66.26408333333333,0.0037333333333333545,90.92,37.82,721.0
2x2,1.0,a10,6,512,600,599,0.9983333333333333,-66.06115,-66.12928333333333,0.06813333333333332,90.92,37.82,721.0
2x2,1.0,a10,7,512,600,596,0.9933333333333333,-66.53491666666666,-66.70138333333334,0.16646666666666665,93.16,38.88,713.0
2x2,1.0,a10,8,512,600,598,0.9966666666666667,-66.61725,-66.72568333333334,0.10843333333333334,93.16,38.88,713.0
2x2,1.0,a10,9,512,600,597,0.995,-67.10991666666666,-67.17491666666666,0.065,93.16,38.88,713.0
2x2,1.0,a10,10,512,600,596,0.9933333333333333,-65.56058333333333,-65.69585000000001,0.13526666666666667,90.92,37.82,721.0
2x2,1.0,a10,11,512,600,598,0.9966666666666667,-65.79755,-65.85594999999999,0.0584,90.92,37.82,721.0
2x2,1.0,a10,12,512,600,598,0.9966666666666667,-65.99418333333334,-66.05378333333333,0.05959999999999999,90.92,37.82,721.0
2x2,1.0,a10,13,512,600,599,0.9983333333333333,-65.89811666666667,-65.95595,0.05783333333333333,90.92,37.82,721.0
2x2,1.0,a10,14,512,600,597,0.995,-66.11481666666667,-66.23021666666666,0.11539999999999999,90.92,37.82,721.0
2x2,1.0,a10,15,512,600,598,0.9966666666666667,-65.94818333333333,-65.95348333333332,0.005300000000000003,90.92,37.82,721.0
