signal_id,signal_description,latitude,longitude,assigned_count_stations,u,total_N_flow,total_S_flow,total_E_flow,total_W_flow,total_NE_flow,total_NW_flow,total_SE_flow,total_SW_flow,max_station_distance,average_station_distance,nonzero_direction_buckets
40861,CHERRY ST EXPRESS RP AND COLUMBIA ST EXPRESS RP,47.6048912506072,-122.329262490913,13,165885.0,0.0,36762.0,11088.0,0.0,38960.0,0.0,79075.0,0.0,134.2602347853937,117.4137613959182,4
57262,6TH AV S - I5 SB RP AND W SEATTLE BR - I5 SB RP,47.5711444755536,-122.321796185149,6,164459.0,0.0,0.0,156786.0,0.0,7673.0,0.0,0.0,0.0,46.075524448918486,46.075524448918486,2
55264,WEST MARGINAL TURN RD AND SW SPOKANE ST,47.5715789924446,-122.359153199568,16,164140.0,0.0,0.0,0.0,36570.0,0.0,6661.0,0.0,120909.0,122.12560314685236,76.32516795248623,3
14412,I5 NB AND NE 45TH ST ON RP,47.6649639390515,-122.321726115463,12,162749.0,0.0,0.0,77484.0,85265.0,0.0,0.0,0.0,0.0,14.481452100036394,14.481452100036394,2
14721,4TH AVE NE AND NE 50TH ST,47.6649778367081,-122.323983110673,11,162072.0,0.0,0.0,85572.0,76500.0,0.0,0.0,0.0,0.0,137.55828894379053,133.99762511040169,2
51119,AIRPORT WAY S AND S HOLGATE S ST,47.5862047572466,-122.321392811407,38,161506.0,8092.0,16688.0,71856.0,64870.0,0.0,0.0,0.0,0.0,63.513129062900155,60.7259566219251,4
21113,8TH AVE NW AND NW 44TH ST,47.6607959642541,-122.366156350337,16,161280.0,6904.0,7996.0,0.0,0.0,0.0,62419.0,83961.0,0.0,144.28319189755743,122.56868733402172,4
22740,DRAVUS ST AND NICKERSON ST,47.6486571043386,-122.355244687811,15,159136.0,0.0,0.0,0.0,0.0,0.0,89254.0,69882.0,0.0,111.6453270993435,111.64532709934355,2
23106,ROOSEVELT WAY NE AND NE 45TH ST,47.6612987365799,-122.317638163068,10,158379.0,0.0,0.0,87464.0,70915.0,0.0,0.0,0.0,0.0,130.01784162816978,130.01784162816975,2
23278,I5 SB AND 50TH ST ON RP,47.6611990345819,-122.322412407052,9,148877.0,0.0,0.0,57741.0,91136.0,0.0,0.0,0.0,0.0,147.53186992294084,147.53186992294084,2
23103,BROOKLYN AVE NE AND NE 45TH ST,47.6612769782712,-122.314285817002,11,146330.0,0.0,0.0,76846.0,69484.0,0.0,0.0,0.0,0.0,142.45995468868267,142.4599546886827,2
23502,LATONA AVE NE AND NE 45TH ST,47.6613440872731,-122.325107730653,11,145818.0,0.0,0.0,63852.0,81966.0,0.0,0.0,0.0,0.0,131.99225162009355,131.77190494088052,2
55210,CHELAN-W SEATTLE BR EB ON RP AND DELRIDGE-W SEATTLE BR EB ON RP,47.5709145936775,-122.361183378348,16,144702.0,0.0,31055.0,0.0,0.0,0.0,0.0,0.0,113647.0,91.36431084991891,91.36431084991891,2
36863,I5 EXPRESS AND I5 EXPRESS NB ON RP,47.621210324862,-122.328493236324,12,142898.0,0.0,142898.0,0.0,0.0,0.0,0.0,0.0,0.0,119.3522610618443,119.35226106184429,1
220651,I5 NB AND CITY LIMITS,47.7340609481323,-122.324659571782,8,142269.0,0.0,0.0,63572.0,78697.0,0.0,0.0,0.0,0.0,29.531458525282083,29.531458525282083,2
12525,15TH AVE NW AND NW 59TH ST,47.6716304885024,-122.376211781806,8,140880.0,105993.0,34887.0,0.0,0.0,0.0,0.0,0.0,0.0,132.9895333910217,132.9895333910217,2
73851,M L KING JR WR WAY S AND S HOLLY PARK DR ,47.5362034390989,-122.280971598879,11,140652.0,102325.0,38327.0,0.0,0.0,0.0,0.0,0.0,0.0,44.95137486655964,44.95137486655965,2
71322,14TH AVE S AND EAST MARGINAL WAY S,47.53526052449,-122.314829499206,9,140460.0,0.0,0.0,0.0,0.0,0.0,45429.0,95031.0,0.0,61.8022825413988,61.8022825413988,2
14334,UNIVERSITY WAY NE AND NE 50TH ST,47.6649007239102,-122.313074161757,17,139971.0,0.0,0.0,61638.0,78333.0,0.0,0.0,0.0,0.0,139.95833447592065,139.7709537998509,2
55121,DELRIDGE WAY SW AND SW CHARLESTOWN ST,47.5701586043968,-122.362015774764,13,139395.0,10909.0,0.0,0.0,0.0,128486.0,0.0,0.0,0.0,123.31278921608211,123.31278921608212,2
15751,18TH AVE NE AND NE 45TH ST,47.6612587862954,-122.308381423719,12,138751.0,0.0,0.0,70671.0,68080.0,0.0,0.0,0.0,0.0,139.50180290288185,139.50180290288182,2
41334,26TH AVE AND E CHERRY ST,47.6080013840407,-122.298867688316,32,137793.0,0.0,0.0,70155.0,67638.0,0.0,0.0,0.0,0.0,146.81512160782748,146.18066379071456,2
77734,14TH AVE SW AND SW ROXBURY ST,47.517347344851,-122.35290724894,15,137762.0,0.0,0.0,54664.0,83098.0,0.0,0.0,0.0,0.0,139.38439609873674,139.38439609873674,2
23104,12TH AVE NE AND NE 45TH ST,47.6612845813885,-122.315442439176,9,137349.0,0.0,0.0,79325.0,58024.0,0.0,0.0,0.0,0.0,142.01887079828907,142.01887079828907,2
40363,BOREN AVE AND BROADWAY,47.6045306921164,-122.320744897801,14,134946.0,42934.0,6074.0,0.0,0.0,0.0,62362.0,23576.0,0.0,112.11467349406153,64.03834345877476,4
51509,3RD AVE S AND S HOLGATE ST,47.5861703820801,-122.329978911451,25,127102.0,0.0,0.0,61450.0,65652.0,0.0,0.0,0.0,0.0,112.6073192019645,112.60731920196449,2
